Series ID,Year,Period,Label,Value
LASST360000000000003,2019,M01,2019 Jan,4.0
LASST360000000000003,2019,M02,2019 Feb,3.9
LASST360000000000003,2019,M03,2019 Mar,3.9
LASST360000000000003,2019,M04,2019 Apr,3.8
LASST360000000000003,2019,M05,2019 May,3.8
LASST360000000000003,2019,M06,2019 Jun,3.8
LASST360000000000003,2019,M07,2019 Jul,3.8
LASST360000000000003,2019,M08,2019 Aug,3.8
LASST360000000000003,2019,M09,2019 Sep,3.8
LASST360000000000003,2019,M10,2019 Oct,3.8
LASST360000000000003,2019,M11,2019 Nov,3.7
LASST360000000000003,2019,M12,2019 Dec,3.7
LASST360000000000003,2020,M01,2020 Jan,3.8
LASST360000000000003,2020,M02,2020 Feb,3.9
LASST360000000000003,2020,M03,2020 Mar,3.9
LASST360000000000003,2020,M04,2020 Apr,16.2
LASST360000000000003,2020,M05,2020 May,15.7
LASST360000000000003,2020,M06,2020 Jun,15.0
LASST360000000000003,2020,M07,2020 Jul,14.7
LASST360000000000003,2020,M08,2020 Aug,11.7
LASST360000000000003,2020,M09,2020 Sep,10.0
LASST360000000000003,2020,M10,2020 Oct,8.7
LASST360000000000003,2020,M11,2020 Nov,8.7
LASST360000000000003,2020,M12,2020 Dec,8.7
LASST360000000000003,2021,M01,2021 Jan,8.8
LASST360000000000003,2021,M02,2021 Feb,8.9
LASST360000000000003,2021,M03,2021 Mar,8.4
LASST360000000000003,2021,M04,2021 Apr,8.2
LASST360000000000003,2021,M05,2021 May,7.8
LASST360000000000003,2021,M06,2021 Jun,7.7
LASST360000000000003,2021,M07,2021 Jul,7.6
LASST360000000000003,2021,M08,2021 Aug,7.4
LASST360000000000003,2021,M09,2021 Sep,7.1
